County,CrimesPer100K,Area,Pop100K,Pop18-34,Pop65+,Physicians,BedsPer100K,HSGrad,Bachelors,Poverty,Unemploy,IncKperCapita,Region
"Los_Angeles, CA",77.73,4060,88.63164,32.1,9.7,23677,312.5294759,70,22.3,11.6,8,20.786,W
"Cook, IL",85.589,946,51.05067,29.2,12.4,15153,422.1296214,73.4,22.8,11.1,7.2,21.729,NC
"Harris, TX",89.96,1729,28.18199,31.3,7.1,7553,441.7360165,74.9,25.4,12.5,5.7,19.517,S
"San_Diego, CA",69.584,4205,24.98016,33.5,10.9,5905,247.356302,81.9,25.3,8.1,6.1,19.588,W
"Orange, CA",59.955,790,24.10556,32.6,9.2,6062,264.2129036,81.2,27.8,5.2,4.8,24.4,W
"Kings, NY",295.987,71,23.00664,28.3,12.4,4861,388.6704012,63.7,16.6,19.5,9.5,16.803,NE
"Maricopa, AZ",83.687,9204,21.22101,29.2,12.5,4320,287.6394667,81.5,22.1,8.8,4.9,18.042,W
"Wayne, MI",91.859,614,21.11687,27.4,12.5,3823,449.4037232,70,13.7,16.9,10,17.461,NC
"Dade, FL",126.336,1945,19.37094,27.1,13.9,6274,456.3536927,65,18.8,14.2,8.7,17.823,S
"Dallas, TX",115.639,880,18.5281,32.6,8.2,4718,374.242367,77.1,26.3,10.4,6.1,21.001,S
"Philadelphia, PA",68.838,135,15.85577,29.1,15.2,6641,661.8410837,64.3,15.2,16.1,8,16.721,NE
"King, WA",82.901,2126,15.07319,30.1,11.1,5280,265.9689157,88.2,32.8,5,4.6,23.779,W
"Santa_Clara, CA",51.422,1291,14.97577,32.6,8.7,4101,223.1604786,82,32.6,5,5.5,25.193,W
"San_Bernardino, CA",58.595,20062,14.1838,30.1,8.8,2463,236.1144404,75.4,14.9,10.3,8,16.399,W
"Cuyahoga, OH",51.801,458,14.1214,26.3,15.6,5620,575.8635829,74,20.1,11,5.5,21.086,NC
"Middlesex, MA",25.617,824,13.98468,31.7,12.5,5158,296.896318,84.3,35.4,4.2,7.3,25.312,NE
"Allegheny, PA",37.552,730,13.36449,26.2,17.4,5281,631.224985,79,22.6,8.7,5.3,20.681,NE
